skill,index,source
accessibility,0,local
adobexd,1,local
agile,2,local
android,3,local+roadmap
angular,4,local+roadmap
ansible,5,local
api,6,local+roadmap
appium,7,local
aspnet,8,roadmap
automation,9,local
aws,10,local+roadmap
azure,11,local
bash,12,local+roadmap
c,13,local+roadmap
cicd,14,local
cloud,15,local
cpp,16,roadmap
css,17,local+roadmap
database,18,local
design system,19,local
django,20,local+roadmap
docker,21,local+roadmap
elasticsearch,22,local
express,23,local
fastapi,24,local
figma,25,local
firebase,26,local
flask,27,local
flutter,28,local+roadmap
gcp,29,local
git,30,local+roadmap
go,31,local+roadmap
graphql,32,local+roadmap
html,33,local+roadmap
ios,34,local
java,35,local+roadmap
javascript,36,local+roadmap
jest,37,local
kotlin,38,local+roadmap
kubernetes,39,local+roadmap
laravel,40,local+roadmap
linux,41,local+roadmap
mongodb,42,local+roadmap
network security,43,local
networking,44,local
nextjs,45,local+roadmap
node,46,local+roadmap
nosql,47,local
numpy,48,local
pandas,49,local
penetration,50,local
php,51,local+roadmap
postman,52,local
powerbi,53,local
python,54,local+roadmap
pytorch,55,local
quality assurance,56,local
r,57,local
react,58,local+roadmap
react native,59,roadmap
redis,60,local+roadmap
ruby on rails,61,roadmap
rust,62,local+roadmap
scala,63,roadmap
security,64,local
selenium,65,local
sklearn,66,local
spark,67,local
springboot,68,local+roadmap
sql,69,local+roadmap
swift,70,local
tableau,71,local
tailwind,72,local
tensorflow,73,local+roadmap
terraform,74,roadmap
testing,75,local
typescript,76,local+roadmap
user research,77,local
vue,78,local+roadmap
wireshark,79,local
